Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
9,X104,P.S. 199 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Scope,Complete,11/5/2021,11/28/2022,9/20/2023,260794,"$372,989.00 ","$367,787.00 ","DSF0001034194, DSF0001029994, DSF0001029995, DSF0001029996, DSF0001083865"
9,X104,P.S. 199 - BRONX,SCA Emergency Response,EMERGENCY STABILIZATION,Construction,In-Progress,9/6/2022,EMER,,EMER,"$1,877,380.00 ","$1,874,539.00 ",SCA0000071034
11,X105,P.S. 105 - BRONX,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$100,000.00 ",$0.00 ,DSF0001033369
11,X105,P.S. 105 - BRONX,SCA Capacity,ADDITION,"CM,Art,F&E",In-Progress,4/6/2023,9/3/2025,,8539804,"$8,357,233.00 ","$5,444,592.00 ",DSF0000911832
11,X105,P.S. 105 - BRONX,SCA Capacity,ADDITION,Construction,In-Progress,4/6/2023,9/3/2025,,60579232,"$56,159,678.00 ","$49,502,258.00 ",DSF0000911832
11,X105,P.S. 105 - BRONX,SCA Capacity,ADDITION,Design,Complete,4/15/2021,11/9/2021,9/16/2022,4803640,"$2,810,662.00 ","$2,332,679.00 ",DSF0000911832
11,X105,P.S. 105 - BRONX,SCA Capacity,ADDITION,Scope,Complete,10/19/2020,4/6/2021,4/14/2021,1067475,"$724,064.00 ","$724,064.00 ",DSF0000911832
11,X105,P.S. 105 - BRONX,SCA CIP,EXISTING BUILDING-AUDITORIUM / EXISTING BUILDING-INTERIOR RENOVATIONS / EXISTING BUILDING-IPDVS WORK / EXISTING BUILDING-FIRE ALARM WORK / EXISTING BUILDING-ELECTRICAL SYSTEMS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,1166041,"$1,166,041.00 ","$76,250.00 ","DSF0000911832, DSF0000911832, DSF0000911832, DSF0000911832, DSF0000911832, DSF0001080765, DSF0001080767"
11,X105,P.S. 105 - BRONX,SCA CIP,EXISTING BUILDING-GYMNASIUM,"CM,F&E",PNS,PNS,PNS,PNS,195713,"$195,713.00 ","$31,367.00 ",DSF0000911832
11,X105,P.S. 105 - BRONX,SCA CIP,EXISTING BUILDING-AUDITORIUM / EXISTING BUILDING-INTERIOR RENOVATIONS / EXISTING BUILDING-IPDVS WORK / EXISTING BUILDING-FIRE ALARM WORK / EXISTING BUILDING-ELECTRICAL SYSTEMS / PARAPETS / EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,11385166,"$11,385,166.00 ","$13,495.00 ","DSF0000911832, DSF0000911832, DSF0000911832, DSF0000911832, DSF0000911832, DSF0001080765, DSF0001080767"
11,X105,P.S. 105 - BRONX,SCA CIP,EXISTING BUILDING-GYMNASIUM,Construction,PNS,PNS,PNS,PNS,1055941,"$1,055,941.00 ","$23,949.00 ",DSF0000911832
11,X105,P.S. 105 - BRONX,SCA CIP,EXISTING BUILDING-AUDITORIUM / EXISTING BUILDING-INTERIOR RENOVATIONS / EXISTING BUILDING-IPDVS WORK / EXISTING BUILDING-FIRE ALARM WORK / EXISTING BUILDING-ELECTRICAL SYSTEMS / PARAPETS / EXTERIOR MASONRY,Design,In-Progress,10/25/2023,4/15/2024,,695712,"$695,712.00 ","$213,829.00 ","DSF0000911832, DSF0000911832, DSF0000911832, DSF0000911832, DSF0000911832, DSF0001080765, DSF0001080767"
11,X105,P.S. 105 - BRONX,SCA CIP,EXISTING BUILDING-GYMNASIUM,Design,Complete,3/15/2023,8/30/2023,11/21/2023,81926,"$55,583.00 ","$53,077.00 ",DSF0000911832
11,X105,P.S. 105 - BRONX,SCA CIP,EXISTING BUILDING-GYMNASIUM,Scope,Complete,10/14/2022,1/31/2023,3/10/2023,18206,"$12,817.00 ","$12,817.00 ",DSF0000911832
11,X105,P.S. 105 - BRONX,SCA CIP,EXISTING BUILDING-AUDITORIUM / EXISTING BUILDING-INTERIOR RENOVATIONS / EXISTING BUILDING-IPDVS WORK / EXISTING BUILDING-FIRE ALARM WORK / EXISTING BUILDING-ELECTRICAL SYSTEMS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,10/14/2022,1/31/2023,10/23/2023,149604,"$172,936.00 ","$172,914.00 ","DSF0000911832, DSF0000911832, DSF0000911832, DSF0000911832, DSF0000911832, DSF0001080765, DSF0001080767"
11,X105,P.S. 105 - BRONX,SCA Emergency Response,EMERGENCY STABILIZATION- SIDEWALK BRIDGE INSTALLATION @ X105,Construction,In-Progress,1/30/2023,EMER,,EMER,"$12,910.00 ","$174,620.00 ",SCA0000071728
11,X105,P.S. 105 - BRONX,SCA Furniture & Equipment,FY25 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,200000,"$200,000.00 ",$0.00 ,DSF0001113353
11,X105,P.S. 105 - BRONX,SCA IEH,"PO18-ABATE AND REPAIR PIPE INSULATION SPACE ID #1009 ABATE AND REPLACE FLOOR TILES SPACE ID #2200, 2",Construction,Complete,2/12/2025,IEH,4/25/2025,IEH,"$360,180.00 ","$1,358.00 ",SCA0000073914
11,X105,P.S. 105 - BRONX,Trust For Public Land,FY18 RESO A PLAYGROUNDS,Construction,PNS,PNS,PNS,PNS,TPL,"$800,000.00 ",$0.00 ,DSF0000867341
11,X106,P.S. 106 - BRONX,SCA CIP,EXTERIOR MASONRY,"CM,F&E",In-Progress,8/12/2024,4/3/2026,,135054,"$209,057.00 ","$192,354.00 ",DSF0001080785
11,X106,P.S. 106 - BRONX,SCA CIP,EXTERIOR MASONRY,Construction,In-Progress,8/12/2024,4/3/2026,,2170514,"$1,970,700.00 ","$392,792.00 ",DSF0001080785
11,X106,P.S. 106 - BRONX,SCA CIP,EXTERIOR MASONRY,Design,Complete,1/2/2024,6/3/2024,5/7/2024,96467,"$173,464.00 ","$133,463.00 ",DSF0001080785
11,X106,P.S. 106 - BRONX,SCA CIP,EXTERIOR MASONRY,Scope,Complete,4/11/2023,8/25/2023,12/20/2023,19293,"$58,678.00 ","$58,678.00 ",DSF0001080785
11,X106,P.S. 106 - BRONX,SCA Emergency Response,EMERGENCY STABILIZATION,Construction,In-Progress,1/6/2020,EMER,,EMER,"$61,696.00 ","$94,935.00 ",SCA0000063150
8,X107,P.S. 107 - BRONX,DOE - RESOA,FY25 RESO A TECHNOLOGY,Construction,PNS,PNS,PNS,PNS,DOER,"$65,000.00 ",$0.00 ,DSF0001113354
8,X107,BOYS PREPARATORY CHARTER SCHOOL OF THE BRONX,Fast Track Projects,FY21 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,10/23/2023,FTK,,FTK,"$153,900.00 ","$110,000.00 ",DSF0000961519
8,X107,P.S. 107 - BRONX,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",PNS,PNS,PNS,PNS,43327,"$43,327.00 ","$4,656.00 ",DSF0001087577
8,X107,P.S. 107 - BRONX,SCA CIP,EXTERIOR MASONRY / PARAPETS / ROOFS / FLOOD ELIMINATION,"CM,F&E",In-Progress,4/26/2024,4/15/2026,,592923,"$279,982.00 ","$275,953.00 ","DSF0001080800, DSF0001080799, DSF0001080798, DSF0001080795"
8,X107,P.S. 107 - BRONX,SCA CIP,IPDVS INSTALLATIONS,Construction,PNS,PNS,PNS,PNS,233762,"$233,762.00 ",$0.00 ,DSF0001087577
8,X107,P.S. 107 - BRONX,SCA CIP,EXTERIOR MASONRY / PARAPETS / ROOFS / FLOOD ELIMINATION,Construction,In-Progress,4/26/2024,4/15/2026,,6780659,"$6,254,147.00 ","$1,894,133.00 ","DSF0001080800, DSF0001080799, DSF0001080798, DSF0001080795"
8,X107,P.S. 107 - BRONX,SCA CIP,EXTERIOR MASONRY / PARAPETS / ROOFS / FLOOD ELIMINATION,Design,Complete,11/30/2022,5/3/2023,11/15/2023,347396,"$318,878.00 ","$286,260.00 ","DSF0001080800, DSF0001080799, DSF0001080798, DSF0001080795"
8,X107,P.S. 107 - BRONX,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,1/14/2025,7/11/2025,4/16/2025,18137,"$12,060.00 ","$12,060.00 ",DSF0001087577
8,X107,P.S. 107 - BRONX,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,1/3/2025,5/5/2025,1/14/2025,4030,"$3,015.00 ","$3,015.00 ",DSF0001087577
8,X107,P.S. 107 - BRONX,SCA CIP,EXTERIOR MASONRY / PARAPETS / ROOFS / FLOOD ELIMINATION,Scope,Complete,6/28/2022,11/14/2022,10/26/2022,71874,"$82,088.00 ","$82,088.00 ","DSF0001080800, DSF0001080799, DSF0001080798, DSF0001080795"
8,X107,P.S. 107 - BRONX,SCA Emergency Response,SIDEWALK BRIDGE,Construction,In-Progress,6/3/2022,EMER,,EMER,"$77,349.00 ","$77,349.00 ",SCA0000071201
8,X107,P.S. 107 - BRONX,SCA IEH,PO18-ABATE/REPLACE DETERIORATED 9X9 TILES IN ROOM B10 / HALLWAY,Construction,Complete,12/11/2024,IEH,1/10/2025,IEH,$911.00 ,$161.00 ,SCA0000073691
8,X107,P.S. 107 - BRONX,SCA IEH,"PO18-ABATE AND REPAIR DAMAGED PIPE INSULATION 1000, 3218 ABATE AND REPLACE FLOOR TILES 1001S, 2106,",Construction,Complete,2/7/2025,IEH,4/13/2025,IEH,"$99,747.00 ","$3,997.00 ",SCA0000073887
8,X107,P.S. 107 - BRONX,SCA IEH,PO18-SPACE ID: 1008 - ABATE 10' OF ACM PIPE INSULATION IN AUDITORIUM FAN ROOM,Construction,Complete,3/4/2025,IEH,6/12/2025,IEH,$955.00 ,$205.00 ,SCA0000074025
11,X108,P.S. 108 - BRONX,DOE - RESOA,FY19 RESO A TOILETS - STUDENTS,Construction,In-Progress,3/17/2022,DOER,,DOER,"$169,357.00 ",$0.00 ,DSF0000890956
11,X108,P.S. 108 - BRONX,DOE - RESOA,FY25 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,"$250,000.00 ",$0.00 ,DSF0001113355
11,X108,P.S. 108 - BRONX,SCA CIP,EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,584728,"$584,728.00 ","$14,095.00 ",DSF0001108787
11,X108,P.S. 108 - BRONX,SCA CIP,EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,5900437,"$5,900,437.00 ","$27,652.00 ",DSF0001108787
11,X108,P.S. 108 - BRONX,SCA CIP,EXTERIOR MASONRY,Design,PNS,PNS,PNS,PNS,372100,"$372,100.00 ",$0.00 ,DSF0001108787
11,X108,P.S. 108 - BRONX,SCA CIP,EXTERIOR MASONRY,Scope,Complete,7/9/2024,11/22/2024,11/14/2024,79736,"$83,472.00 ","$55,952.00 ",DSF0001108787
9,X109,P.S. 109 - BRONX,DOE - RESOA,FY25 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$375,000.00 ",$0.00 ,DSF0001113356
9,X109,P.S. 109 - BRONX,DOE - RESOA,FY21 RESO A ACCESSIBILITY,Construction,In-Progress,6/30/2024,DOER,,DOER,"$335,667.00 ",$0.00 ,DSF0001007903
9,X109,P.S. 109 - BRONX,DOE - Skilled Trades,WATER HEATERS,Construction,In-Progress,4/4/2017,DOES,,DOES,"$185,872.00 ",$0.00 ,DSF0000795508
9,X109,P.S. 109 - BRONX,Fast Track Projects,PAVED AREAS- BLACKTOP,Construction,In-Progress,10/2/2019,FTK,,FTK,"$274,731.00 ","$273,605.00 ",DSF0000908063
9,X109,P.S. 109 - BRONX,SCA CIP,OTHER TEMP STRUCTURE REMOVAL/PLAYGROUND REDEVELOPMENT,"CM,F&E",PNS,PNS,PNS,PNS,206910,"$206,910.00 ","$1,359.00 ",DSF0001112064
9,X109,P.S. 109 - BRONX,SCA CIP,PATH OF TRAVEL ELECTRIFICATION,"CM,F&E",PNS,PNS,PNS,PNS,30882,"$30,882.00 ","$1,440.00 ",DSF0001113893
9,X109,P.S. 109 - BRONX,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL SYSTEMS UPGRADE / WINDOWS / ROOFS / PARAPETS / LIGHTING UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,4714018,"$4,714,018.00 ","$219,381.00 ","DSF0001085601, DSF0001112236, DSF0001112235, DSF0001112234, DSF0001112232, DSF0001112237, DSF0001136471"
9,X109,P.S. 109 - BRONX,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL SYSTEMS UPGRADE / WINDOWS / ROOFS / PARAPETS / LIGHTING UPGRADE,Construction,PNS,PNS,PNS,PNS,46639199,"$46,639,199.00 ","$399,111.00 ","DSF0001085601, DSF0001112236, DSF0001112235, DSF0001112234, DSF0001112232, DSF0001112237, DSF0001136471"
9,X109,P.S. 109 - BRONX,SCA CIP,OTHER TEMP STRUCTURE REMOVAL/PLAYGROUND REDEVELOPMENT,Construction,PNS,PNS,PNS,PNS,2087908,"$2,087,908.00 ",$0.00 ,DSF0001112064
9,X109,P.S. 109 - BRONX,SCA CIP,PATH OF TRAVEL ELECTRIFICATION,Construction,PNS,PNS,PNS,PNS,120387,"$120,387.00 ",$0.00 ,DSF0001113893
9,X109,P.S. 109 - BRONX,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL SYSTEMS UPGRADE / WINDOWS / ROOFS / PARAPETS / LIGHTING UPGRADE,Design,Complete,8/12/2024,3/11/2025,4/4/2025,2945014,"$982,092.00 ","$952,727.00 ","DSF0001085601, DSF0001112236, DSF0001112235, DSF0001112234, DSF0001112232, DSF0001112237, DSF0001136471"
9,X109,P.S. 109 - BRONX,SCA CIP,OTHER TEMP STRUCTURE REMOVAL/PLAYGROUND REDEVELOPMENT,Design,PNS,PNS,PNS,PNS,131670,"$131,670.00 ","$1,631.00 ",DSF0001112064
9,X109,P.S. 109 - BRONX,SCA CIP,PATH OF TRAVEL ELECTRIFICATION,Design,Complete,2/14/2025,6/13/2025,4/8/2025,8375,$739.00 ,$739.00 ,DSF0001113893
9,X109,P.S. 109 - BRONX,SCA CIP,OTHER TEMP STRUCTURE REMOVAL/PLAYGROUND REDEVELOPMENT,Scope,In-Progress,11/14/2024,2/18/2025,,28215,"$28,965.00 ","$2,758.00 ",DSF0001112064
9,X109,P.S. 109 - BRONX,SCA CIP,PATH OF TRAVEL ELECTRIFICATION,Scope,Complete,1/8/2025,4/9/2025,2/13/2025,2094,"$12,459.00 ","$12,459.00 ",DSF0001113893
9,X109,P.S. 109 - BRONX,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL SYSTEMS UPGRADE / WINDOWS / ROOFS / PARAPETS / LIGHTING UPGRADE,Scope,Complete,10/5/2023,3/5/2024,3/13/2024,632529,"$385,512.00 ","$385,510.00 ","DSF0001085601, DSF0001112236, DSF0001112235, DSF0001112234, DSF0001112232, DSF0001112237, DSF0001136471"
9,X109,P.S. 109 - BRONX,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113694
9,X109,P.S. 109 - BRONX,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113694
9,X109,P.S. 109 - BRONX,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113694
9,X109,P.S. 109 - BRONX,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,$0.00 ,$0.00 ,DSF0001113694
9,X109,P.S. 109 - BRONX,SCA IEH,PO18-ABATE FUEL OIL PIPE INSULATION FOR BOILER CONVERSION LOCATION IS MARKED AT BOILER AND PUMP SET,Construction,Complete,2/25/2025,IEH,5/19/2025,IEH,"$1,250.00 ",$0.00 ,SCA0000073981
9,X110,P.S. 110 - BRONX,DIIT - RESOA,FY 11 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$79,187.00 ",$0.00 ,DSF0000801059
9,X110,P.S. 110 - BRONX,DOE - RESOA,FY25 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,"$175,000.00 ",$0.00 ,DSF0001113357
9,X110,P.S. 110 - BRONX,DOE - RESOA,FY22 RESO A FENCING,Construction,In-Progress,10/15/2022,DOER,,DOER,"$181,144.00 ",$0.00 ,DSF0001034064
9,X110,M.S. 128 - BRONX,DOE - RESOA,FY23 RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$446,001.00 ",$0.00 ,DSF0001036225
9,X110,P.S. 110 - BRONX,DOE - RESOA,RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,6/28/2024,DOER,,DOER,"$60,376.00 ",$0.00 ,DSF0001087228
9,X110,P.S. 110 - BRONX,Fast Track Projects,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,In-Progress,8/10/2020,FTK,,FTK,"$367,575.00 ","$355,251.00 ",DSF0000911986
9,X110,P.S. 110 - BRONX,SCA CIP,REPAIR RETAINING WALLS,"CM,F&E",PNS,PNS,PNS,PNS,108519,"$108,519.00 ","$26,931.00 ",DSF0001085148
9,X110,P.S. 110 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY / FIRE ALARM / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,2/5/2024,8/2/2026,,1080486,"$326,211.00 ","$325,872.00 ","DSF0000912343, DSF0001002907, DSF0001030116, DSF0001030117"
9,X110,P.S. 110 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,2/2/2024,11/27/2024,,127919,"$107,433.00 ","$106,339.00 ",DSF0001035043
9,X110,P.S. 110 - BRONX,SCA CIP,REPAIR RETAINING WALLS,Construction,PNS,PNS,PNS,PNS,1744061,"$1,744,061.00 ","$82,841.00 ",DSF0001085148
9,X110,P.S. 110 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY / FIRE ALARM / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,2/5/2024,8/2/2026,,16538847,"$15,224,011.00 ","$4,321,849.00 ","DSF0000912343, DSF0001002907, DSF0001030116, DSF0001030117"
9,X110,P.S. 110 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,2/2/2024,11/27/2024,,313200,"$279,002.00 ","$6,302.00 ",DSF0001035043
9,X110,P.S. 110 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY / FIRE ALARM / PARAPETS / EXTERIOR MASONRY,Design,Complete,2/9/2023,7/13/2023,5/11/2023,748896,"$704,928.00 ","$557,472.00 ","DSF0000912343, DSF0001002907, DSF0001030116, DSF0001030117"
9,X110,P.S. 110 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/18/2023,1/16/2024,10/11/2023,24300,"$4,588.00 ","$4,588.00 ",DSF0001035043
9,X110,P.S. 110 - BRONX,SCA CIP,REPAIR RETAINING WALLS,Design,Complete,5/3/2022,5/12/2023,5/10/2023,77514,"$82,156.00 ","$75,647.00 ",DSF0001085148
9,X110,P.S. 110 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY / FIRE ALARM / PARAPETS / EXTERIOR MASONRY,Scope,Complete,5/28/2019,11/16/2022,2/8/2023,150499,"$179,126.00 ","$176,469.00 ","DSF0000912343, DSF0001002907, DSF0001030116, DSF0001030117"
9,X110,P.S. 110 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,7/6/2023,11/3/2023,7/18/2023,5400,"$1,147.00 ","$1,147.00 ",DSF0001035043
9,X110,P.S. 110 - BRONX,SCA CIP,REPAIR RETAINING WALLS,Scope,Complete,8/2/2018,12/19/2018,12/3/2018,15503,"$149,657.00 ","$142,665.00 ",DSF0001085148
9,X110,P.S. 110 - BRONX,SCA Emergency Response,EMERGENCY STABILIZATION,Construction,In-Progress,8/1/2018,EMER,,EMER,,$0.00 ,SCA0000053026
9,X110,P.S. 110 - BRONX,SCA IEH,"PO18-SPACE ID: 3232 - CLASSROOM 232 - 9' X 9' FLOOR TILES ARE DAMAGED, APPROX. 4' X 4' ABATE AND REP",Construction,In-Progress,5/23/2025,IEH,,IEH,"$8,955.00 ",$205.00 ,SCA0000074296
9,X110,P.S. 110 - BRONX,SCA IEH,"PO18-ABATE WALL TILES GROUT AND RADIATOR INSULATION AND PIPE INSULATION G20, G24 *",Construction,Complete,1/7/2025,IEH,2/17/2025,IEH,"$31,135.00 ","$31,135.00 ",SCA0000073774
11,X111,P.S. 111 - BRONX,DOE - RESOA,FY24 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,"$175,000.00 ",$0.00 ,DSF0001086750
11,X111,P.S. 111 - BRONX,SCA CIP,FLOOD ELIMINATION / EXTERIOR MASONRY / ROOFS,"CM,F&E",PNS,PNS,PNS,PNS,892352,"$892,352.00 ","$40,087.00 ","DSF0001108842, DSF0001108845, DSF0001108844"
11,X111,P.S. 111 - BRONX,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",PNS,PNS,PNS,PNS,56619,"$56,619.00 ","$6,502.00 ",DSF0001087578
11,X111,P.S. 111 - BRONX,SCA CIP,IPDVS INSTALLATIONS,Construction,PNS,PNS,PNS,PNS,305478,"$305,478.00 ","$14,076.00 ",DSF0001087578
11,X111,P.S. 111 - BRONX,SCA CIP,FLOOD ELIMINATION / EXTERIOR MASONRY / ROOFS,Construction,PNS,PNS,PNS,PNS,8207171,"$8,207,171.00 ","$115,150.00 ","DSF0001108842, DSF0001108845, DSF0001108844"
11,X111,P.S. 111 - BRONX,SCA CIP,FLOOD ELIMINATION / EXTERIOR MASONRY / ROOFS,Design,In-Progress,9/17/2024,2/21/2025,,530877,"$530,877.00 ","$43,583.00 ","DSF0001108842, DSF0001108845, DSF0001108844"
11,X111,P.S. 111 - BRONX,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,11/4/2024,5/2/2025,3/6/2025,23701,"$1,324.00 ","$1,324.00 ",DSF0001087578
11,X111,P.S. 111 - BRONX,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,10/25/2024,2/28/2025,11/4/2024,5267,$331.00 ,$331.00 ,DSF0001087578
11,X111,P.S. 111 - BRONX,SCA CIP,FLOOD ELIMINATION / EXTERIOR MASONRY / ROOFS,Scope,Complete,4/3/2024,8/19/2024,9/11/2024,114324,"$59,655.00 ","$59,655.00 ","DSF0001108842, DSF0001108845, DSF0001108844"
11,X112,P.S. 112 - BRONX,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/24/2025,DIIR,6/23/2025,DIIR,"$221,000.00 ","$221,000.00 ",DSF0001113358
11,X112,P.S. 112 - BRONX,DOE - RESOA,FY24 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,"$591,025.00 ",$0.00 ,DSF0001086751
11,X112,P.S. 112 - BRONX,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",PNS,PNS,PNS,PNS,76376,"$76,376.00 ",$0.00 ,DSF0001087579
11,X112,P.S. 112 - BRONX,SCA CIP,WINDOWS / EXTERIOR MASONRY / PARAPETS / FLOOD ELIMINATION,"CM,F&E",PNS,PNS,PNS,PNS,934119,"$934,119.00 ","$28,709.00 ","DSF0001113792, DSF0001136534, DSF0001136533, DSF0001113797"
11,X112,P.S. 112 - BRONX,SCA CIP,IPDVS INSTALLATIONS,Construction,PNS,PNS,PNS,PNS,297735,"$297,735.00 ",$0.00 ,DSF0001087579
11,X112,P.S. 112 - BRONX,SCA CIP,WINDOWS / EXTERIOR MASONRY / PARAPETS / FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,8959109,"$8,959,109.00 ",$510.00 ,"DSF0001113792, DSF0001136534, DSF0001136533, DSF0001113797"
11,X112,P.S. 112 - BRONX,SCA CIP,WINDOWS / EXTERIOR MASONRY / PARAPETS / FLOOD ELIMINATION,Design,In-Progress,10/16/2024,3/21/2025,,566901,"$566,901.00 ","$22,717.00 ","DSF0001113792, DSF0001136534, DSF0001136533, DSF0001113797"
11,X112,P.S. 112 - BRONX,SCA CIP,IPDVS INSTALLATIONS,Design,In-Progress,5/21/2025,11/18/2025,,20712,"$20,712.00 ",$899.00 ,DSF0001087579
11,X112,P.S. 112 - BRONX,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,5/21/2025,9/22/2025,5/21/2025,5178,$225.00 ,$225.00 ,DSF0001087579
11,X112,P.S. 112 - BRONX,SCA CIP,WINDOWS / EXTERIOR MASONRY / PARAPETS / FLOOD ELIMINATION,Scope,Complete,1/23/2024,6/6/2024,7/12/2024,122210,"$104,249.00 ","$104,249.00 ","DSF0001113792, DSF0001136534, DSF0001136533, DSF0001113797"
11,X112,P.S. 112 - BRONX,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,"CM,F&E",In-Progress,3/31/2025,3/30/2026,,45000,"$41,269.00 ","$21,326.00 ",DSF0001036227
11,X112,P.S. 112 - BRONX,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Construction,In-Progress,3/31/2025,3/30/2026,,660000,"$270,407.00 ","$3,607.00 ",DSF0001036227
11,X112,P.S. 112 - BRONX,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Design,Complete,1/17/2024,5/31/2024,5/6/2024,45000,"$99,332.00 ","$35,343.00 ",DSF0001036227
11,X112,P.S. 112 - BRONX,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Scope,Complete,1/26/2023,4/26/2023,6/21/2023,0,"$66,549.00 ","$66,549.00 ",DSF0001036227
11,X112,P.S. 112 - BRONX,SCA Emergency Response,EMERGENCY- PUBLIC PROTECTION @X112 FALLING DEBRIS,Construction,In-Progress,10/28/2024,EMER,,EMER,"$16,871.00 ","$14,763.00 ",SCA0000073552
11,X113,SCHOOL OF DIPLOMACY,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$300,000.00 ",$0.00 ,DSF0001113360
11,X113,THE YOUNG SCHOLARS ACADEMY - BRONX,DIIT - RESOA,FY16 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,1/28/2020,DIIR,,DIIR,"$35,000.00 ",$0.00 ,DSF0000844060
11,X113,SCHOOL OF DIPLOMACY,DOE - RESOA,FY25 RESO A WATER FOUNTAIN UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,"$150,000.00 ",$0.00 ,DSF0001113359
11,X113,SCHOOL OF DIPLOMACY,DOE - RESOA,RESO A ELECTRICAL UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$97,566.00 ",$0.00 ,DSF0001112247
11,X113,NORTH BRONX SCHOOL OF EMPOWERMENT,DOE - RESOA,FY24 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,"$235,017.00 ",$0.00 ,DSF0001086753
